SynsetTerms,PosScore,NegScore
single-handed#2,0,0
strong-minded#2,0.5,0
unaffiliated#1,0,0.125
unconditional#3,0,0.5
main#2,0.25,0
subordinate#3,0,0.125
partizan#1,0,0
party-spirited#1,0,0
tendentious#1,0.375,0.25
nonpartizan#1,0.25,0
two-way#1,0,0
independent#4,0,0.625
unbiassed#2,0,0
aligned#1,0,0
allied#5,0,0
nonaligned#1,0,0.5
neutral#3,0,0.75
descriptive#2,0,0
prescriptive#1,0.375,0
descriptive#1,0.125,0.125
undescriptive#1,0.125,0.75
desirable#1,0.5,0
sought_after#1,0.625,0
sexually_attractive#1,0.625,0
enviable#1,0.25,0.5
plummy#1,0.75,0
preferred#1,0.75,0
unwanted#2,0.125,0.5
unenviable#2,0.125,0.625
destroyed#1,0,0.625
wiped_out#1,0.125,0.375
spoilt#3,0,0.5
obliterated#1,0,0.125
wiped_out#2,0,0.5
burnt-out#3,0,0.875
razed#1,0,0.125
sacked#1,0,0.375
kaput#1,0,0.375
extinguished#1,0,0.5
fallen#2,0,0.125
ruined#3,0,0.5
scorched#2,0.125,0
tattered#2,0,0.5
totaled#1,0,0.25
war-worn#1,0,0
wrecked#1,0,0.625
preserved#2,0.25,0
conserved#1,0,0.625
well-kept#1,0.75,0
preservable#1,0.5,0
saved#2,0,0.75
retained#1,0.125,0
destructible#1,0.125,0.125
abolishable#1,0.625,0
destroyable#1,0.5,0.125
indestructible#1,0.375,0.125
undestroyable#2,0.125,0.5
determinable#1,0.5,0
discoverable#1,0.625,0
definable#1,0.5,0
judicable#1,0.5,0
undeterminable#1,0.125,0.625
indeterminate#4,0.125,0.5
undiscoverable#1,0.125,0.5
unpredictable#2,0,0.25
determinate#1,0.125,0
fixed#1,0,0
undetermined#2,0,0.5
cost-plus#1,0,0
open-ended#2,0.25,0
determinate#2,0,0.625
cymose#1,0,0
indeterminate#2,0.25,0
racemose#1,0,0
developed#1,0,0
formulated#1,0,0
matured#2,0.125,0
undeveloped#1,0,0.25
budding#1,0,0
vestigial#1,0,0.75
dextral#1,0,0
dexter#1,0,0
dextrorse#1,0,0
sinistral#1,0,0
sinister#3,0.125,0.125
sinistrorse#1,0,0
diabatic#1,0,0
adiabatic#1,0,0.625
differentiated#1,0.125,0
uniform#3,0,0.25
dedifferentiated#1,0,0
hard#1,0,0.75
challenging#1,0.125,0.5
arduous#3,0.125,0.75
unenviable#1,0,0.75
tough#9,0,0.5
tricky#2,0.375,0.375
touchy#2,0.125,0.75
fractious#3,0.125,0.875
hard-fought#1,0.5,0.25
herculean#2,0.125,0.625
tight#12,0,0.75
rough#4,0,0.75
tough#2,0,0.875
serious#6,0,0.75
tall#3,0.125,0.875
thorny#1,0,0.875
troublesome#1,0,0.875
trying#1,0,0.5
vexed#2,0,0.625
easy#1,0.625,0.25
effortless#2,0.25,0.5
clean#14,0,0.625
soft#17,0.375,0.5
unproblematic#1,0.25,0.5
hands-down#1,0,0
painless#1,0,0.25
simplified#1,0.25,0.25
smooth#7,0.125,0.375
user-friendly#1,0.25,0.25
digitigrade#1,0,0
plantigrade#1,0,0
dignified#1,0.5,0.25
stately#3,0.25,0
magisterial#3,0,0
undignified#1,0,0.25
mortifying#2,0,0.625
infra_dig#1,0.75,0.125
silly#3,0,0.625
presidential#2,0,0.25
unpresidential#1,0,0.125
dicotyledonous#1,0,0
monocotyledonous#1,0,0
diligent#2,0.375,0.125
sedulous#1,0.125,0.25
untiring#1,0.25,0.375
negligent#1,0.25,0.5
remiss#1,0.125,0.125
slack#3,0.125,0.5
hit-and-run#2,0,0
neglectful#1,0,0.625
diluted#1,0,0.625
weakened#4,0,0
weak#2,0,0
white#9,0,0
undiluted#1,0,0.25
black#13,0,0.5
concentrated#2,0,0
straight#13,0,0.25
saturated#2,0,0.125
unsaturated#2,0,0
monounsaturated#1,0,0
polyunsaturated#1,0,0
saturated#1,0,0.625
supersaturated#1,0,0.625
unsaturated#1,0.25,0
diplomatical#1,0,0
suave#2,0.625,0.375
tactful#2,0.5,0
undiplomatic#1,0,0.75
conciliatory#2,0,0.25
placatory#1,0.375,0.625
pacific#3,0.625,0
propitiatory#2,0,0
soft#16,0,0.25
antagonistic#3,0.5,0.125
alienating#1,0,0.75
direct#1,0,0.25
door-to-door#1,0,0
nonstop#1,0,0
point-blank#2,0,0
straightforward#4,0,0
unswerving#1,0,0.25
through#2,0,0.375
indirect#2,0,0.75
squinty#2,0,0
roundabout#2,0,0
diversionary#1,0,0.375
winding#2,0,0
direct#7,0,0
alternating#1,0,0
direct#3,0,0
bluff#2,0.75,0
straight-from-the-shoulder#1,0.5,0.375
brutal#4,0,0.625
flat-footed#4,0.5,0
man-to-man#1,0.5,0.375
no-nonsense#1,0.125,0.25
unvarnished#2,0.5,0
pointed#2,0.125,0.125
straightforward#2,0,0.625
upfront#1,0.625,0.125
indirect#4,0.25,0.5
allusive#1,0.375,0.25
backhanded#2,0.375,0.125
roundabout#1,0.125,0.25
periphrastic#1,0.375,0
rambling#2,0,0
hearsay#1,0,0
mealymouthed#1,0,0.125
tortuous#3,0.125,0.5
direct#6,0,0
inverse#2,0.125,0
reciprocal#2,0,0
direct#5,0,0
retrograde#1,0,0
immediate#3,0,0
unmediated#1,0,0
mediate#1,0,0
indirect#1,0,0
mediated#1,0,0
discerning#1,0.875,0
percipient#1,0.5,0.25
perspicacious#2,0.625,0
prescient#1,0.25,0
discreet#1,0.625,0
indiscreet#1,0.25,0.375
talkative#2,0,0.375
imprudent#2,0.5,0.125
discriminate#1,0.625,0
indiscriminate#2,0.625,0.25
promiscuous#1,0,0.75
wholesale#1,0.375,0.125
discriminating#1,0.75,0
appreciative#2,0.5,0
diacritical#1,0.625,0
discriminatory#3,0.625,0
eclectic#1,0.375,0
good#21,0.75,0
selective#1,0.625,0
disposable#2,0.25,0
throwaway#2,0,0
nondisposable#2,0.125,0.625
returnable#1,0,0.375
revertible#1,0,0
nonreturnable#1,0.25,0.125
disposable#1,0.5,0
useable#3,0,0
spendable#1,0,0
liquid#7,0.125,0
nondisposable#1,0.125,0
frozen#6,0,0.625
distal#1,0,0
proximal#1,0,0
distal#2,0,0
lateral#2,0,0
mesial#1,0,0
median#2,0,0
sagittal#1,0,0
distinct#2,0.375,0
well-defined#1,0.5,0
clear-cut#3,0.625,0
sharp#1,0.25,0
crystalline#2,0.625,0
knifelike#4,0.25,0
razor-sharp#1,0.375,0
indistinct#1,0.25,0.75
bedimmed#1,0.375,0.125
muzzy#1,0.125,0.75
nebulous#1,0.125,0.25
wispy#2,0.375,0.25
faint#5,0.125,0
veiled#2,0.375,0
focussed#1,0.375,0
unfocussed#1,0,0.625
diversified#1,0,0
wide-ranging#2,0.25,0
undiversified#1,0,0.125
general#2,0,0
monolithic#2,0.125,0.375
whole#5,0,0
undistributed#1,0,0.625
divisible#1,0.5,0
cleavable#1,0.625,0
severable#1,0.5,0
dissociative#1,0.125,0.25
dividable#1,0,0.375
partible#1,0,0
indivisible#1,0,0.625
indiscrete#1,0,0.75
undividable#1,0,0.5
inseparable#1,0.125,0.625
documented#1,0,0
referenced#1,0,0
registered#3,0,0
undocumented#1,0,0
unregistered#3,0,0.5
domineering#1,0.25,0.5
overbearing#1,0.5,0.375
peremptory#1,0.125,0.125
bullying#1,0.125,0.5
high-handed#1,0.125,0.25
roughshod#3,0.125,0.375
tyrannous#1,0.25,0.25
submissive#1,0.75,0
abject#4,0.625,0
bowing#1,0.75,0
spiritless#2,0.625,0.25
wormy#2,0.75,0
henpecked#1,0,1
servile#1,0.5,0
toadyish#2,0,0
obsequious#2,0.625,0
subservient#3,0,0
slavelike#1,0.625,0
unsubmissive#1,0.25,0.75
dominant#1,0,0
dominating#1,0.25,0
controlling#1,0,0
governing#1,0.25,0
preponderating#1,0.125,0
possessive#3,0.625,0
supreme#2,0.125,0
superior#3,0.25,0
subordinate#1,0,0.25
assistant#1,0,0
associate#1,0.125,0.5
secondary#5,0,0.375
under#2,0,0.375
dominant#2,0,0.375
recessive#2,0,0.25
single-barrelled#1,0,0
double-barrelled#1,0,0
double-breasted#1,0,0
single-breasted#1,0,0
dramatic#1,0.5,0
melodramatic#1,0.5,0
spectacular#2,0,0
hammy#1,0.375,0
undramatic#1,0.125,0.5
unspectacular#1,0,0.25
actable#1,0.625,0
unactable#1,0.25,0.125
theatrical#2,0.25,0
melodramatic#2,0,0.125
showy#2,0.5,0
stagy#1,0.125,0.375
untheatrical#1,0,0.75
potable#1,0.75,0
undrinkable#1,0.25,0.5
intoxicated#1,0,0
orgiastic#2,0,0
beery#1,0,0.25
wet#6,0,0
tipsy#1,0,0.375
sottish#1,0.25,0
narcotized#1,0.125,0
half-seas-over#1,0,0.125
mellow#5,0.125,0
stoned#1,0.125,0
sober#1,0,0.625
stone-sober#1,0.375,0.375
drug-free#1,0,0.5
teetotal#1,0.25,0
unintoxicated#1,0,0.125
dull#9,0,0.5
blunt#2,0,0
dulled#2,0.25,0
edgeless#1,0.25,0
unsharpened#1,0,0.125
sharp#9,0.25,0
carnassial#1,0.25,0
chisel-like#1,0,0.125
dagger-like#1,0,0.125
drill-like#1,0,0.125
edged#3,0.125,0
fang-like#1,0.125,0.125
file-like#1,0.125,0.125
incisive#2,0.75,0
keen#5,0,0
knifelike#1,0,0
metal-cutting#1,0.75,0
penetrative#2,0.25,0.25
razor-sharp#2,0.25,0
sharpened#2,0,0
sharp-toothed#1,0.125,0
sharp#8,0.125,0
intense#2,0.5,0.25
stabbing#2,0,0.375
fulgurating#1,0.375,0
salt#1,0,0.75
dull#6,0,0
deadened#2,0,0.125
eventful#1,0,0.375
lively#5,0,0
uneventful#1,0.25,0.375
lively#1,0.5,0
alive#2,0.5,0
zippy#2,0.375,0
breezy#1,0.625,0.25
bubbly#2,0.625,0.125
sparkly#1,0.75,0.25
gushing#2,0.25,0.5
live#7,0.375,0
warm#8,0.375,0.25
dull#1,0.375,0.25
desiccated#3,0.5,0.25
dreary#1,0,0.375
leaden#5,0,0.125
monotonous#1,0.125,0.375
lustreless#1,0.25,0.25
dynamical#1,0.375,0.25
can-do#1,0.375,0
ever-changing#1,0.375,0
impulsive#3,0.25,0
kinetic#3,0,0
projectile#1,0,0
propulsive#2,0.75,0
self-propelling#2,0,0
slashing#1,0.25,0
undynamic#1,0,0.625
backward#4,0.5,0
stagnant#2,0,0.75
eager#1,0.625,0.25
dying#2,0.125,0
hot#17,0.75,0.125
raring#1,0,0.375
overeager#1,0.5,0.375
uneager#1,0.5,0
reluctant#3,0.125,0.25
eared#2,0.125,0.125
auriculated#1,0,0
lop-eared#1,0,0
mouse-eared#1,0.375,0
short-eared#1,0.375,0
small-eared#1,0.375,0
earless#1,0,0.125
early#1,0,0
primordial#1,0,0
beforehand#1,0.125,0
archean#1,0.25,0.125
archeozoic#1,0,0.125
azoic#1,0,0
earliest#1,0,0
earlyish#1,0,0
untimely#2,0,0
previous#3,0,0.25
proterozoic#1,0,0.125
proto#1,0,0
wee#2,0,0
middle#4,0,0
intervening#1,0,0
mid#1,0,0
late#1,0,0
ripe#5,0,0
after-hours#1,0,0
latish#1,0,0
posthumous#1,0,0
early#2,0,0
primitive#2,0,0
young#2,0,0
rude#5,0,0.375
embryotic#1,0,0
incipient#1,0,0
precocious#2,0,0
later#2,0,0
advanced#2,0,0
tardive#1,0.375,0
early#5,0,0
old#7,0,0
middle#3,0,0
late#5,0,0
new#9,0,0
new#8,0,0
earned#1,0.125,0
attained#1,0,0
unearned#1,0.125,0.5
honorary#1,0.125,0.625
easy#3,0.625,0.25
uneasy#1,0,0.5
worried#2,0,0.75
unstable#3,0,0.5
east#1,0,0
eastward#1,0,0
eastern#5,0,0
eastern#3,0,0
eastern#1,0,0
eastmost#1,0,0
eastside#1,0,0
west#1,0,0
westward#1,0,0
western#3,0,0
western#4,0,0
westmost#1,0,0
westside#1,0,0
western#1,0,0
occidental#1,0,0
eastern#4,0,0
oriental#1,0,0
western#2,0,0
southwestern#2,0,0
midwestern#1,0,0
northwestern#2,0,0
west-central#1,0,0
eastern#2,0,0
east-central#1,0,0
middle_atlantic#1,0,0
northeastern#2,0,0
southeastern#2,0,0
ectomorphic#1,0,0
asthenic#2,0.375,0
pyknic#1,0,0
muscular#2,0.25,0
athletic#3,0.25,0
edible#1,0.25,0
killable#1,0.125,0
nontoxic#2,0.25,0.25
parve#1,0,0.5
uneatable#1,0.25,0.75
poisonous#2,0,0.75
educated#1,0.5,0.125
well-read#2,0.25,0
literate#3,0,0
self-educated#1,0,0
semiliterate#1,0.5,0.125
uneducated#1,0.25,0.75
illiterate#2,0,0.125
unlettered#2,0,0.5
undereducated#1,0.5,0.125
untutored#1,0.25,0.125
unstudied#2,0.375,0
numerate#1,0,0
innumerate#1,0.25,0
operative#1,0,0
operant#1,0.375,0
in_force#1,0,0
operational#4,0,0
working#5,0,0
inoperative#1,0,0.125
down#8,0,0.625
dead#13,0,0.25
defunct#1,0,0.75
efficacious#2,0.25,0.125
trenchant#2,0.25,0.375
impelling#1,0.125,0.125
telling#3,0.375,0
rough-and-ready#1,0,0
uneffective#1,0,0.625
toothless#2,0.125,0.375
unproductive#2,0,0.5
effortful#1,0,0.5
toilsome#1,0.125,0.5
dragging#1,0.125,0.5
wearying#1,0,0.625
laboured#2,0.125,0.125
labour-intensive#1,0,0.5
plodding#1,0,0.25
sisyphean#2,0,0.75
strenuous#2,0,0.5
facile#2,0.5,0
unstrained#2,0.5,0
efficacious#1,0.5,0
effective#3,0.125,0
inefficacious#1,0.25,0
efficient#1,0.375,0.375
businesslike#1,0.25,0
cost-efficient#1,0.125,0
economical#1,0.25,0
expeditious#1,0.375,0.125
high-octane#1,0,0
streamlined#1,0.25,0.125
inefficient#1,0,0.5
wasteful#1,0,0
forceful#1,0,0.5
bruising#2,0,0.375
drastic#1,0.375,0.375
exclamatory#1,0.25,0.25
strong#10,0.375,0.125
strong-arm#1,0,0.5
impellent#1,0,0
impetuous#2,0,0.375
sharp#12,0,0.125
unforceful#1,0,0.5
wimpy#1,0,0.625
elastic#1,0.375,0
springy#1,0,0
chewy#2,0.125,0.375
elasticized#1,0,0
expansile#1,0.5,0
plastic#1,0,0
whippy#1,0,0
rubbery#1,0.125,0.125
springlike#1,0,0
stretch#2,0.25,0
stretchy#1,0.375,0
viscoelastic#1,0,0
inelastic#1,0,0.125
dead#12,0.125,0.375
nonresilient#1,0,0.25
springless#1,0.125,0.375
elective#1,0,0
electoral#2,0,0
nonappointive#1,0,0.125
appointive#2,0,0
nominative#3,0,0
nonelective#1,0,0.5
assigned#1,0,0
allotted#1,0,0
appointed#2,0,0
unassigned#1,0,0.25
optional#1,0,0
elective#2,0,0.125
ex_gratia#1,0,0.625
facultative#4,0,0.125
nonobligatory#1,0.125,0.625
obligatory#1,0.5,0
bounden#1,0.875,0
required#2,0.25,0
de_rigueur#1,0.5,0
imposed#1,0.125,0
incumbent_on#1,0.875,0
indispensable#3,0,0.125
prerequisite#1,0,0
elegant#1,0.5,0
foppish#1,0.375,0
luxe#1,0.625,0
fine#4,0.625,0.125
high-toned#1,0.375,0
recherche#1,0.5,0
tasteful#2,0.5,0.125
ritzy#1,0.5,0
soignee#1,0.75,0
inelegant#1,0.625,0.125
unpolished#2,0,0.25
homely#4,0.375,0.625
eligible#1,0.5,0
bailable#2,0.375,0
worthy#2,0.5,0
entitled#1,0,0
in_line#2,0,0
legal#5,0,0
pensionable#1,0,0
ineligible#1,0.125,0.25
disqualified#1,0,0
disqualified#2,0,0.375
unsuitable#4,0,0.625
unqualified#4,0,0.125
emotional#2,0.625,0
emotive#1,0.5,0.25
soupy#2,0.125,0
releasing#1,0,0.125
supercharged#2,0.5,0.25
low-down#2,0.125,0.125
het_up#2,0.25,0.375
hot-blooded#1,0.125,0.25
little#8,0,0
lyrical#2,0.125,0.375
mind-blowing#2,0.5,0
temperamental#2,0,0.25
sloppy#5,0,0.625
soulful#1,0.125,0.5
warm-toned#1,0,0
unemotional#1,0.556,0.444
chilly#1,0.375,0.5
stolid#1,0.25,0.625
philosophical#2,0,0.5
phlegmatical#1,0.625,0
stoical#1,0,0.75
unblinking#1,0.625,0.125
empirical#1,0,0
a_posteriori#2,0.125,0.125
verifiable#2,0.75,0
experiential#2,0,0
experimental#3,0.5,0
semiempirical#1,0,0
trial-and-error#1,0.125,0
theoretical#1,0,0
abstractive#1,0.375,0
a_priori#2,0,0.25
supposititious#1,0.25,0.125
speculative#2,0,0.75
metaphysical#3,0.125,0
theory-based#1,0,0.125
theoretical#2,0.125,0
abstract#3,0,0
academic#2,0,0.625
pure#5,0,0
applied#1,0,0
practical#4,0,0
salaried#1,0.125,0
self-employed#1,0,0
employed#1,0,0
engaged#6,0,0
hired#1,0,0
working#1,0.125,0
unemployed#1,0,0.625
pink-slipped#1,0,0
out_of_work#1,0,0.75
employable#1,0.375,0
unemployable#1,0,0.75
enchanted#1,0.375,0
entranced#1,0,0.75
ensorcelled#1,0.125,0
transfixed#1,0.125,0
disenchanted#1,0.875,0
undeceived#1,0.625,0
disillusioned#1,0.5,0.375
encouraging#1,0.625,0.125
hortatory#1,0.375,0
inspiriting#1,0.5,0
promotive#1,0.375,0.375
rallying#1,0.5,0.25
discouraging#1,0.25,0.25
intimidating#1,0.125,0.375
dispiriting#1,0,0.625
frustrating#1,0,0.375
unencouraging#1,0,0.5
encumbered#1,0,0
loaded_down#2,0,0
clogged#3,0,0
mortgaged#1,0,0
unencumbered#1,0.5,0.375
unburdened#2,0,0.75
unmortgaged#1,0.25,0
burdened#1,0,0
weighed_down#2,0,0
oppressed#1,0,0
saddled#2,0,0.25
unburdened#1,0,0.75
endocentric#1,0,0
exocentric#1,0,0
endogamous#2,0.375,0.25
exogamous#2,0.25,0.125
autogamous#1,0.375,0.25
self-pollinated#1,0,0
endogamous#1,0.375,0.25
exogamous#1,0.375,0.25
energy-absorbing#1,0,0
exoergic#1,0,0
heat-absorbing#1,0,0
decalescent#1,0,0.125
heat-releasing#1,0,0
endogenous#2,0,0
exogenous#1,0,0
end-stopped#1,0,0
run-on#1,0,0.375
energetic#1,0.375,0
physical#5,0.5,0.125
zippy#1,0.375,0
canty#1,0.375,0
driving#2,0.125,0.125
high-energy#2,0,0
unwearying#1,0.5,0
strenuous#1,0.375,0
vigorous#1,0.5,0
unenrgetic#1,0,0.125
stuporous#1,0,0.5
languorous#1,0.5,0.125
listless#1,0.5,0.25
enfranchised#1,0,0
voteless#1,0,0.375
exportable#1,0.75,0
marketable#3,0.625,0
unexportable#1,0.25,0.75
exploratory#1,0,0
alpha#2,0,0
beta#2,0,0
preliminary#1,0,0
searching#3,0.25,0
wildcat#3,0,0.25
unexploratory#1,0,0.125
inquiring#1,0,0
investigatory#1,0,0
inquisitive#2,0,0.25
inquisitorial#3,0,0
inquisitorial#2,0.5,0
uninquisitive#1,0,0.25
increased#1,0,0
accumulated#1,0,0
augmented#1,0,0
enhanced#1,0.5,0.125
inflated#1,0.75,0
magnified#1,0,0.5
multiplied#1,0.25,0
raised#3,0,0
redoubled#1,0,0.125
reduced#1,0,0.125
ablated#1,0,0.125
weakened#3,0,0.375
attenuated#1,0,0
bated#1,0,0.25
small#10,0.125,0.125
slashed#3,0.25,0.125
diminished#3,0,0
minimized#1,0,0.125
remittent#1,0.125,0.75
shrunken#2,0.25,0.125
reducible#1,0.625,0
enlightened#1,0.75,0
edified#1,0.625,0
unenlightened#1,0.5,0
dark#7,0.25,0
enterprising#1,0.5,0.125
up-and-coming#1,0.125,0.125
entrepreneurial#2,0,0
unenterprising#1,0.25,0.625
unenergetic#1,0.125,0.75
enthusiastic#1,0.625,0
warm#7,0.5,0.375
zealous#1,0.5,0
wild#11,0.5,0.125
evangelistic#2,0.5,0.375
glowing#1,0.75,0
gung_ho#1,0.5,0
overenthusiastic#1,0.5,0
unenthusiastic#1,0.25,0.5
cold#10,0,0.375
tepid#2,0.25,0.625
wishful#1,0.375,0
appetent#1,0.625,0
thirsty#3,0.125,0.5
greedy#2,0.375,0.25
jealous#1,0.5,0.375
nostalgic#1,0,0.75
homesick#1,0,0.75
undesirous#1,0.125,0.375
entozoic#1,0,0
epizoic#1,0,0
equal#1,0.125,0
tantamount#1,0.125,0
tight#10,0,0.125
coequal#1,0,0
coordinate#1,0.25,0.375
equidistant#1,0,0
equilateral#1,0,0
fifty-fifty#1,0,0.125
half-and-half#1,0,0
isochronous#1,0.125,0
isoclinic#1,0,0
isometrical#1,0,0
isothermal#1,0,0
quits#1,0,0
tied#5,0,0
unequal#1,0.125,0.375
unsymmetrical#2,0,0
uneven#2,0,0.375
nonequivalent#1,0.125,0.625
odds-on#1,0.5,0
unbalanced#3,0.125,0.375
unequalized#1,0,0.625
balanced#1,0.125,0
counterpoised#1,0,0
symmetrical#2,0.125,0
poised#1,0.25,0.125
self-balancing#1,0,0
stable#4,0,0
well-balanced#1,0,0
unbalanced#1,0,0.125
labile#2,0,0.125
isotonic#1,0,0
hypertonic#2,0,0.125
hypotonic#2,0,0.25
equivocal#1,0.25,0.125
forked#2,0,0.625
evasive#1,0.375,0.25
indeterminate#3,0.5,0.125
univocal#1,0.25,0.375
absolute#4,0.25,0.25
straightforward#1,0.5,0
unquestionable#3,0,0.75
eradicable#1,0,0
delible#1,0.625,0
erasable#1,0.625,0
extirpable#1,0.5,0.125
removable#2,0.125,0.125
ineradicable#1,0.125,0.5
unerasable#1,0.125,0.25
inexpungible#1,0.25,0.5
esoteric#1,0,0
recondite#1,0.5,0.375
arcane#1,0.5,0.125
sibylline#2,0.25,0
exoteric#1,0.25,0
essential#2,0,0
primary#5,0.75,0.25
biogenic#2,0,0
organic#6,0,0
must#1,0.625,0
no-frills#1,0.125,0.625
staple#1,0.125,0
substantive#1,0,0
virtual#2,0.25,0.5
vital#2,0,0
unessential#1,0,0.75
accessorial#1,0.375,0
adscititious#2,0,0
nonessential#1,0.125,0.75
indispensable#1,0,0
vital#1,0.5,0
estimable#1,1,0
admirable#1,0.75,0
contemptible#1,0,0.75
scurvy#1,0,0.875
mean#8,0.125,0.5
pitiful#1,0.333,0.667
ethical#2,0.625,0
complimentary#1,0.5,0
panegyrical#1,0.125,0
praising#1,0.5,0.25
uncomplimentary#2,0.125,0.625
slighting#1,0.125,0.75
disparaging#1,0,0.75
pejorative#1,0,0.625
supercilious#2,0.125,0.75
flattering#1,0.25,0.25
adulatory#1,0.25,0
becoming#2,0.5,0
insinuating#1,0.25,0
unflattering#1,0.125,0.5
inoffensive#3,0,0.625
offensive#6,0,0.75
euphoric#1,0.25,0.625
euphoriant#1,0.25,0.625
expansive#3,0.25,0.375
unhappy#2,0.125,0.875
even#3,0.25,0
plane#1,0.375,0.25
flatbottomed#1,0.125,0
flush#1,0,0
justified#1,0.125,0
lap-jointed#1,0,0
straight-grained#1,0,0
level#4,0,0
true#12,0.5,0
uneven#1,0.125,0.375
wavy#2,0,0.125
wavy-grained#1,0,0
irregular#8,0,0.625
scraggy#2,0,0.125
lumpy#2,0,0.625
untrue#3,0,0.25
patchy#1,0,0.75
pebble-grained#1,0,0.625
ragged#3,0,0.25
unparallel#1,0,0.875
even#1,0.375,0
uneven#3,0.5,0.375
evergreen#1,0,0
coniferous#1,0,0
semi-evergreen#1,0,0
deciduous#1,0,0
broadleaf#1,0,0
exact#1,0,0
verbatim#1,0,0
literal#2,0.125,0.375
mathematical#5,0.625,0.25
perfect#3,0.75,0
photographic#2,0.375,0
strict#1,0.5,0.375
inexact#1,0,0.125
rough#3,0.25,0.75
loose#5,0,0
odd#3,0,0.375
round#3,0,0
exchangeable#2,0.5,0
redeemable#2,0,0
unexchangeable#2,0,0.5
irredeemable#2,0,0.5
exchangeable#1,0.75,0
substitutable#2,0.5,0
fungible#1,0.5,0
transposable#1,0.375,0
vicarious#3,0,0
unexchangeable#1,0.25,0.75
incommutable#2,0,0.625
excitable#1,0.25,0.25
high-keyed#1,0.375,0
warm#6,0.25,0.25
spooky#1,0,0.375
unexcitable#1,0.375,0.125
steady#6,0.25,0.5
excited#2,0,0
nervous#4,0.125,0.375
agog#1,0.625,0
crazy#3,0.25,0.5
fevered#1,0.625,0
intoxicated#2,0,0
overexcited#1,0,0.25
stirred_up#1,0.25,0.375
titillated#1,0.25,0.625
thrilled#1,0.25,0.625
thrillful#1,0.25,0.5
unexcited#1,0.125,0.125
exciting#1,0.375,0
breathtaking#1,0.25,0.25
exhilarating#2,0.375,0
galvanizing#1,0.125,0.5
thrilling#1,0.25,0.5
glamourous#1,0.375,0
intoxicating#2,0.375,0.25
titillating#1,0.625,0
titillating#3,0.375,0
unexciting#2,0.25,0.25
unglamourous#1,0.25,0.375
uninspired#1,0.375,0.5
tame#1,0.25,0.125
exculpatory#1,0.375,0.125
forgiving#2,0.25,0
extenuating#1,0.25,0
vindicatory#3,0.25,0
inculpatory#1,0,0.5
accusive#1,0,0.5
denunciatory#1,0,0
condemning#1,0,0.75
incriminatory#1,0.375,0.25
damning#1,0,0.25
recriminatory#1,0,0
exhaustible#1,0.625,0
depletable#1,0.625,0
inexhaustible#2,0.25,0.375
renewable#2,0.625,0
unfailing#2,0,0
spent#1,0.125,0
unexhausted#1,0.375,0.25
unexpended#2,0.125,0.5
unconsumed#1,0.125,0.125
unspent#1,0,0.125
existing#2,0.125,0
alive#5,0,0
nonexistent#1,0,0.75
wanting#1,0,0.625
innocent#6,0.25,0.5
nonextant#2,0,0.75
extant#1,0,0.625
surviving#1,0,0
nonextant#1,0,0.5
dead#11,0,0.625
expected#1,0,0.125
hoped-for#1,0.25,0
due#2,0,0
expectable#1,0.125,0.25
matter-of-course#1,0.25,0
unexpected#1,0.125,0.375
unpredicted#1,0,0.5
unthought-of#1,0.375,0.25
unprovided_for#2,0.25,0.5
upset#3,0,0
expedient#1,0,0.375
advantageous#2,0.375,0
timeserving#1,0.125,0
carpetbagging#1,0,0
inexpedient#1,0.333,0.667
inadvisable#2,0.125,0.625
expendable#1,0.75,0
consumable#1,0.125,0
sacrificeable#1,0,0.25
unexpendable#1,0.25,0.75
expensive#1,0.5,0
high-ticket#1,0.375,0.125
pricy#1,0.5,0
dearly-won#1,0,0
overpriced#1,0.125,0
inexpensive#1,0,0.25
cut-rate#1,0.125,0.25
catchpenny#1,0,0.5
dirt_cheap#1,0,0.5
low-budget#1,0.375,0
low-priced#1,0,0
nickel-and-dime#2,0,0.5
twopenny-halfpenny#1,0.25,0.375
experient#1,0.5,0
fully_fledged#2,0.375,0.25
versed#1,0.5,0
practised#1,0.375,0
veteran#1,0.5,0
inexperient#1,0.25,0
unfledged#3,0,0
raw#12,0.125,0.125
uninitiated#1,0.125,0.375
unversed#1,0,0.5
young#5,0.125,0.5
expired#1,0,0
invalid#2,0,0.5
terminated#2,0,0
unexpired#1,0,0.625
valid#2,0.5,0
explicable#1,0.625,0
interpretable#1,0.625,0
inexplicable#1,0.125,0.5
mystifying#1,0.5,0.375
self-contradictory#1,0.375,0.25
unexplainable#1,0.125,0.5
unexplained#2,0.25,0
expressed#2,0.5,0
stated#1,0.5,0
unequivocal#2,0.25,0
graphic#2,0.25,0
hardcore#2,0.625,0.125
inexplicit#1,0.375,0
underlying#1,0.25,0.25
understood#2,0.5,0
unvoiced#2,0,0.375
exploited#1,0.5,0
employed#2,0,0
unexploited#1,0,0.625
fallow#2,0.125,0
untapped#2,0,0.625
describable#1,0.5,0
representable#1,0.125,0
utterable#1,0.5,0
unexpressible#1,0,0
unutterable#2,0,0
extensile#1,0.5,0
protractile#1,0,0
protrusile#1,0.375,0
nonprotractile#1,0.125,0.25
extricable#1,0.75,0
inextricable#1,0,0.625
unresolvable#2,0,0.625
bowed#1,0,0
arco#1,0,0
plucked#1,0,0
pizzicato#1,0,0
fingered#1,0,0.375
fingerlike#1,0,0.125
fingerless#1,0,0.75
expansive#1,0,0.5
